Samples averaged,Raw X,Raw Y,Raw Z,QTPy identifier
100,0.0599999,0.13,20.27,48ca43576cdc
100,0.0499997,0.0800009,20.33,48ca43576cdc
100,0.0299997,0.0900002,20.22,48ca43576cdc
100,-0.0100002,0.110001,20.38,48ca43576cdc
100,0.02,0.0700006,20.36,48ca43576cdc
100,0.0299997,0.0900002,20.25,48ca43576cdc
100,0.0699997,-0.0499992,20.44,48ca43576cdc
100,0.13,-0.0299997,20.47,48ca43576cdc
200,0.0650001,0.0900002,20.275,48ca43576cdc
200,0.105,0.0800009,20.29,48ca43576cdc
200,0.0699997,0.0300007,20.305,48ca43576cdc
200,0.0599999,0.1,20.29,48ca43576cdc
200,0.00999975,0.0200005,20.34,48ca43576cdc
200,0.105,0.00500011,20.26,48ca43576cdc
200,0.115,0.0450001,20.24,48ca43576cdc
200,0.105,-0.0149994,20.355,48ca43576cdc
200,0.00500011,0.0800009,20.26,48ca43576cdc
200,0.175,-0.00999928,20.36,48ca43576cdc
200,0.105,0.00500011,20.455,48ca43576cdc
200,0.0650001,0.0750008,20.4,48ca43576cdc
200,0.135,0.0800009,20.335,48ca43576cdc
200,0.0,0.0950003,20.24,48ca43576cdc
200,0.0650001,0.0450001,20.41,48ca43576cdc
200,0.0349998,-0.00499916,20.35,48ca43576cdc
200,0.0499997,0.0200005,20.24,48ca43576cdc
200,0.0949998,0.0500002,20.295,48ca43576cdc
200,0.12,0.0350008,20.415,48ca43576cdc
200,0.04,0.0500002,20.34,48ca43576cdc
200,0.11,0.0450001,20.26,48ca43576cdc
200,0.125,-0.0249996,20.245,48ca43576cdc
200,0.0999999,0.085,20.265,48ca43576cdc
200,0.02,0.0650005,20.38,48ca43576cdc
200,0.11,0.0900002,20.33,48ca43576cdc
200,0.0349998,-0.0199995,20.42,48ca43576cdc
200,0.11,-0.0249996,20.365,48ca43576cdc
200,0.085,0.0450001,20.345,48ca43576cdc
200,0.0749998,0.0250006,20.36,48ca43576cdc
200,0.00999975,0.0200005,20.39,48ca43576cdc
500,0.146,-0.0279999,20.352,48ca43576cdc
500,0.112,0.0160007,20.364,48ca43576cdc
500,0.0759997,0.0240002,20.324,48ca43576cdc
500,0.052,0.0500002,20.308,48ca43576cdc
500,0.0599999,0.0540009,20.362,48ca43576cdc
500,0.0139999,0.0640001,20.326,48ca43576cdc
500,0.128,-0.00799942,20.298,48ca43576cdc
500,0.0759997,0.0640001,20.322,48ca43576cdc
500,0.0599999,0.0360003,20.342,48ca43576cdc
500,0.0879998,0.0340004,20.362,48ca43576cdc
500,0.0739999,0.0180006,20.304,48ca43576cdc
500,0.0559998,0.0100002,20.34,48ca43576cdc
500,0.0539999,0.0560007,20.36,48ca43576cdc
500,0.072,0.0360003,20.326,48ca43576cdc
500,0.072,0.0300007,20.368,48ca43576cdc
500,0.104,0.0480003,20.342,48ca43576cdc
500,0.122,0.0540009,20.368,48ca43576cdc
500,0.0939999,-0.00399971,20.292,48ca43576cdc
500,0.0900002,-0.00199986,20.31,48ca43576cdc
500,0.086,0.0540009,20.404,48ca43576cdc
1000,0.0640001,0.0320005,20.314,48ca43576cdc
1000,0.086,0.0120001,20.345,48ca43576cdc
1000,0.073,0.0460005,20.308,48ca43576cdc
1000,0.072,0.0160007,20.365,48ca43576cdc
1000,0.0609999,0.0150003,20.38,48ca43576cdc
1000,0.0829997,0.00600052,20.332,48ca43576cdc
1000,0.0939999,0.0160007,20.341,48ca43576cdc
1000,0.059,0.0610008,20.374,48ca43576cdc
1000,0.0679998,-0.0129995,20.347,48ca43576cdc
1000,0.0499997,-0.0149994,20.332,48ca43576cdc
1000,0.0549998,0.026,20.329,48ca43576cdc
1000,0.0539999,-0.0129995,20.35,48ca43576cdc
1000,0.079,0.0170002,20.336,48ca43576cdc
1000,0.0109997,-0.00199986,20.344,48ca43576cdc
1000,0.0380001,0.0320005,20.316,48ca43576cdc
1000,0.0180001,0.0420008,20.357,48ca43576cdc
1000,0.092,0.0230007,20.373,48ca43576cdc
1000,0.0929999,-0.0199995,20.373,48ca43576cdc
1000,0.0429997,-0.000999451,20.336,48ca43576cdc
1000,0.0829997,-0.0190001,20.323,48ca43576cdc
2000,0.066,0.000500679,20.351,48ca43576cdc
2000,0.0289998,-0.0155001,20.332,48ca43576cdc
2000,0.0454998,0.00500011,20.3535,48ca43576cdc
2000,0.0289998,-0.00299931,20.34,48ca43576cdc
2000,0.0440001,-0.000999451,20.357,48ca43576cdc
2000,0.0365,0.00900078,20.339,48ca43576cdc
2000,0.0469999,-0.0424995,20.349,48ca43576cdc
2000,0.0349998,0.0155001,20.3275,48ca43576cdc
2000,0.052,0.0255003,20.338,48ca43576cdc
2000,0.0485001,0.00550079,20.36,48ca43576cdc
2000,0.085,0.0145006,20.372,48ca43576cdc
2000,0.0485001,0.0270004,20.348,48ca43576cdc
2000,0.046,0.00900078,20.341,48ca43576cdc
2000,0.0415001,-0.0114994,20.3195,48ca43576cdc
2000,0.0339999,0.000500679,20.336,48ca43576cdc
2000,0.0235,0.0105,20.3135,48ca43576cdc
2000,0.0650001,0.00349998,20.3445,48ca43576cdc
2000,0.0734997,0.0165005,20.361,48ca43576cdc
2000,0.0415001,0.00349998,20.304,48ca43576cdc
2000,0.0539999,0.00900078,20.338,48ca43576cdc
