minutes,A0,A1,A2,A3,A4,A5,A6,A7,XL3D
98.43763781,2416.885364,1005.239581,6962.785032,1964.296639,19390.50194,9270.371758,16962.78503,20255.34387,1156.75102
99.55647271,2420.733907,1019.864047,6964.324449,1969.6846,19392.04135,9275.759719,16964.32445,20255.34387,1189.518367
100.6751409,2424.582451,1034.488512,6965.863866,1973.533144,19395.8899,9280.377971,16965.86387,20255.34387,1177.230612
101.7938092,2426.891577,1054.500939,6966.633575,1978.151396,19398.96873,9284.226515,16966.63358,20255.34387,1158.116327
102.9126441,2430.74012,1066.04657,6968.172993,1988.15761,19398.96873,9289.614476,16968.17299,20255.34387,1184.057143
104.0313123,2433.818955,1071.434531,6970.482119,1996.624405,19404.35669,9294.232728,16970.48212,20255.34387,1164.942857
105.1499805,2438.437208,1076.052783,6972.791245,2002.782075,19406.66582,9297.311563,16972.79124,20255.34387,1179.961224
106.2854821,2439.976625,1080.671035,6974.330662,2008.170036,19407.43553,9304.238941,16974.33066,20255.34387,1170.404082
107.4208171,2440.746334,1085.289287,6975.100371,2011.248871,19406.66582,9310.396611,16975.10037,20255.34387,1171.769388
108.5394853,2443.825169,1091.446957,6975.100371,2016.636832,19407.43553,9315.784572,16975.10037,20255.34387,1169.038776
109.6581535,2448.443421,1101.45317,6976.639788,2021.255084,19408.20524,9321.172533,16976.63979,20255.34387,1171.769388
110.7769884,2449.982838,1113.76851,6978.179206,2025.103628,19409.74465,9325.790785,16978.17921,20255.34387,1164.942857
111.8956567,2452.291964,1124.544432,6979.718623,2033.570424,19411.28407,9337.336416,16979.71862,20255.34387,1159.481633
113.0143249,2453.831382,1142.247732,6981.258041,2047.425181,19412.82349,9348.882047,16981.25804,20255.34387,1152.655102
114.1329931,2456.140508,1154.563072,6982.027749,2059.74052,19412.05378,9358.118551,16982.02775,20255.34387,1178.595918
115.251828,2456.910217,1165.338994,6983.567167,2068.207316,19413.5932,9367.355056,16983.56717,20255.34387,1181.326531
116.3704962,2459.989052,1171.496663,6985.106584,2072.055859,19414.36291,9379.670395,16985.10658,20255.34387,1164.942857
117.5059978,2463.067886,1182.272586,6985.106584,2078.213529,19415.90232,9387.367482,16985.10658,20255.34387,1178.595918
118.6244994,2464.607304,1192.278799,6985.876293,2087.450034,19417.44174,9398.913113,16985.87629,20255.34387,1174.5
119.760001,2467.686139,1201.515303,6986.646002,2092.837995,19418.98116,9409.689035,16986.646,20255.34387,1185.422449
120.8786692,2471.534682,1209.982099,6988.185419,2095.147121,19421.29028,9418.155831,16988.18542,20255.34387,1184.057143
121.9973375,2476.152935,1213.830643,6992.033963,2099.765373,19422.05999,9423.543792,16992.03396,20255.34387,1188.153061
123.1161724,2479.231769,1217.679186,6993.57338,2105.923043,19425.13883,9428.162044,16993.57338,20254.57416,1197.710204
124.2348406,2481.540896,1219.218604,6995.882506,2112.080713,19425.13883,9434.319714,16995.88251,20254.57416,1169.038776
125.3535088,2485.389439,1221.52773,6997.421924,2117.468674,19427.44795,9440.477384,16997.42192,20254.57416,1184.057143
126.4723437,2487.698565,1223.836856,6998.961341,2126.705178,19428.21766,9445.095636,16998.96134,20254.57416,1169.038776
127.591012,2490.007691,1225.376274,6999.73105,2131.323431,19429.75708,9448.174471,16999.73105,20254.57416,1167.673469
128.7265136,2494.625944,1227.6854,7000.500759,2136.711391,19429.75708,9450.483597,17000.50076,20254.57416,1177.230612
129.8616818,2498.474487,1229.994526,7002.040176,2139.790226,19432.06621,9452.023014,17002.04018,20254.57416,1188.153061
131.0138501,2500.013905,1233.073361,7002.040176,2142.869061,19432.83592,9454.33214,17002.04018,20254.57416,1177.230612
132.1325183,2502.323031,1235.382487,7003.579593,2146.717605,19434.37533,9458.950393,17003.57959,20254.57416,1188.153061
133.2511865,2504.632157,1238.461322,7004.349302,2149.79644,19435.14504,9461.259519,17004.3493,20254.57416,1171.769388
134.3700215,2507.710992,1241.540157,7005.88872,2155.184401,19436.68446,9463.568645,17005.88872,20254.57416,1163.577551
135.5051897,2508.480701,1245.3887,7006.658428,2157.493527,19438.22388,9468.186897,17006.65843,20254.57416,1167.673469
136.6240246,2511.559535,1250.006952,7008.967554,2159.032944,19441.30271,9470.496023,17008.96755,20254.57416,1162.212245
137.7426928,2513.868662,1257.70404,7010.506972,2160.572362,19439.76329,9472.80515,17010.50697,20254.57416,1148.559184
138.8613611,2515.408079,1264.631418,7012.816098,2164.420905,19441.30271,9476.653693,17012.8161,20254.57416,1148.559184
139.9968627,2517.717205,1271.558796,7014.355515,2166.730031,19442.07242,9478.193111,17014.35552,20254.57416,1148.559184
141.1321976,2521.565749,1280.795301,7016.664642,2168.269449,19444.38155,9481.271945,17016.66464,20254.57416,1156.75102
142.2508658,2524.644584,1286.183262,7019.743476,2169.808866,19444.38155,9482.041654,17019.74348,20254.57416,1167.673469
143.369534,2526.95371,1294.650058,7021.282894,2170.578575,19445.15125,9483.581072,17021.28289,20254.57416,1170.404082
144.488369,2529.262836,1304.656271,7023.59202,2173.65741,19445.92096,9485.890198,17023.59202,20254.57416,1154.020408
145.6070372,2532.341671,1317.741319,7026.670855,2176.736245,19445.15125,9488.969033,17026.67085,20254.57416,1174.5
146.7590388,2533.881088,1320.820154,7028.979981,2178.275662,19445.92096,9491.278159,17028.97998,20254.57416,1159.481633
147.8778737,2536.959923,1327.747533,7032.828525,2180.584788,19447.46038,9492.817576,17032.82852,20254.57416,1160.846939
148.9965419,2537.729632,1338.523455,7039.755903,2184.433332,19447.46038,9494.356994,17039.7559,20254.57416,1181.326531
150.1152102,2539.269049,1344.681124,7044.374155,2187.512167,19448.23009,9495.126702,17044.37416,20254.57416,1167.673469
151.2338784,2543.117593,1350.838794,7045.913573,2189.821293,19448.23009,9495.896411,17045.91357,20253.80445,1177.230612
152.3527133,2546.196428,1356.226755,7047.45299,2192.900128,19449.76951,9498.205537,17047.45299,20253.80445,1162.212245
153.4713815,2548.505554,1366.232968,7048.992408,2195.978963,19448.9998,9498.975246,17048.99241,20253.80445,1162.212245
